Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.62      0.78     0.01   884809     0.00     0.00  void std::_Destroy<std::vector<unsigned long, std::allocator<unsigned long> >*>(std::vector<unsigned long, std::allocator<unsigned long> >*, std::vector<unsigned long, std::allocator<unsigned long> >*)
  0.62      0.79     0.01   605729     0.00     0.00  std::_Vector_base<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_Vector_base(unsigned long, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.62      0.79     0.01   210797     0.00     0.00  Move::getTo() const
  0.62      0.80     0.01   210797     0.00     0.00  Move::getFrom() const
  0.62      0.80     0.01   112836     0.00     0.00  std::allocator_traits<std::allocator<Move> >::max_size(std::allocator<Move> const&)
  0.62      0.81     0.01      121     0.04     0.04  __gnu_cxx::new_allocator<std::vector<unsigned long, std::allocator<unsigned long> > >::max_size() const
  0.62      0.81     0.01                             operator delete(void*, void*)
  0.00      0.81     0.00  3267144     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >::__normal_iterator(unsigned long const* const&)
  0.00      0.81     0.00  3267144     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > > >(__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >)
  0.00      0.81     0.00  3267144     0.00     0.00  unsigned long const* std::__niter_base<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >(__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >)
  0.00      0.81     0.00  2859600     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator()
  0.00      0.81     0.00  2669886     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::__normal_iterator(unsigned long* const&)
  0.00      0.81     0.00  2425494     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator(__gnu_cxx::new_allocator<unsigned long> const&)
  0.00      0.81     0.00  2425494     0.00     0.00  std::allocator<unsigned long>::allocator(std::allocator<unsigned long> const&)
  0.00      0.81     0.00  2096216     0.00     0.00  unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&)
  0.00      0.81     0.00  2078566     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::size() const
  0.00      0.81     0.00  1701455     0.00     0.00  std::_Vector_base<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_M_get_Tp_allocator()
  0.00      0.81     0.00  1633572     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::end() const
  0.00      0.81     0.00  1633572     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::begin() const
  0.00      0.81     0.00  1490551     0.00     0.00  __gnu_cxx::new_allocator<std::vector<unsigned long, std::allocator<unsigned long> > >::~new_allocator()
  0.00      0.81     0.00  1490534     0.00     0.00  std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > >::allocator(std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.00      0.81     0.00  1271795     0.00     0.00  Move&& std::forward<Move>(std::remove_reference<Move>::type&)
  0.00      0.81     0.00  1246298     0.00     0.00  unsigned long* std::__niter_base<unsigned long*>(unsigned long*)
  0.00      0.81     0.00  1229148     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::_M_max_size() const
  0.00      0.81     0.00  1223930     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator() const
  0.00      0.81     0.00  1217703     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.00      0.81     0.00  1217703     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00      0.81     0.00  1217703     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_allocate(unsigned long)
  0.00      0.81     0.00  1217703     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::deallocate(std::allocator<unsigned long>&, unsigned long*, unsigned long)
  0.00      0.81     0.00  1214079     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.81     0.00  1213559     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      0.81     0.00  1213559     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::~_Vector_base()
  0.00      0.81     0.00  1211983     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_create_storage(unsigned long)
  0.00      0.81     0.00  1211983     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_base(unsigned long, std::allocator<unsigned long> const&)
  0.00      0.81     0.00  1211978     0.00     0.00  unsigned long* std::__niter_wrap<unsigned long*>(unsigned long* const&, unsigned long*)
  0.00      0.81     0.00  1211978     0.00     0.00  unsigned long* std::uninitialized_copy<__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long*>(__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long*)
  0.00      0.81     0.00  1211978     0.00     0.00  unsigned long* std::copy<__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long*>(__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long*)
  0.00      0.81     0.00  1124146     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::end()
  0.00      0.81     0.00  1085276     0.00     0.00  Move* std::__addressof<Move>(Move&)
  0.00      0.81     0.00  1066808     0.00     0.00  Position* std::__addressof<Position>(Position&)
